adds,2022-11-27 01:41:30.230627,8,12
adds,2022-11-27 01:41:57.930352,2,5
adds,2022-11-27 10:51:51.593674,1,0
asd,2022-11-27 11:01:31.884789,0,1
asd,2022-11-27 11:02:03.935923,0,1
sad,2022-11-27 11:02:34.391175,0,1
add,2022-11-27 11:08:58.929949,0,1
asd,2022-11-27 11:09:36.494399,1,0
asdsd,2022-11-27 11:10:12.707164,0,1
assa,2022-11-27 11:12:11.998294,1,1
asas,2022-11-27 11:13:52.792925,1,0
ljhhj,2022-11-27 11:15:22.313409,1,1
aaaa,2022-11-28 15:41:29.705274,3,0
aaaasssggghhh,2022-11-30 12:02:51.474252,1,4
aaa,2022-11-30 12:43:47.664480,0,1
aaa,2022-11-30 12:56:21.973353,1,0
